Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
TI,2022-11-23 00:00:00+05:30,96.23,97.13,95.23,96.68,93570,0.0,0.0
TI,2022-11-24 00:00:00+05:30,97.72,100.22,97.23,99.12,293591,0.0,0.0
TI,2022-11-25 00:00:00+05:30,99.97,101.61,97.62,98.62,225590,0.0,0.0
TI,2022-11-28 00:00:00+05:30,100.57,100.57,98.42,98.82,183519,0.0,0.0
TI,2022-11-29 00:00:00+05:30,99.57,103.76,98.52,103.76,913981,0.0,0.0
TI,2022-11-30 00:00:00+05:30,106.5,108.94,104.36,108.94,829159,0.0,0.0
TI,2022-12-01 00:00:00+05:30,111.09,114.38,105.25,106.95,1460880,0.0,0.0
TI,2022-12-02 00:00:00+05:30,106.95,110.39,103.21,106.1,416811,0.0,0.0
TI,2022-12-05 00:00:00+05:30,107.1,109.19,104.7,105.1,180770,0.0,0.0
TI,2022-12-06 00:00:00+05:30,105.1,107.3,103.71,105.05,120664,0.0,0.0
TI,2022-12-07 00:00:00+05:30,104.31,107.1,102.71,103.61,160686,0.0,0.0
TI,2022-12-08 00:00:00+05:30,103.81,104.7,102.71,103.31,98015,0.0,0.0
TI,2022-12-09 00:00:00+05:30,104.41,105.45,98.32,99.82,222426,0.0,0.0
TI,2022-12-12 00:00:00+05:30,100.62,101.16,98.32,98.87,146104,0.0,0.0
TI,2022-12-13 00:00:00+05:30,99.47,102.51,97.03,101.76,388764,0.0,0.0
TI,2022-12-14 00:00:00+05:30,103.51,104.6,101.31,102.01,139770,0.0,0.0
TI,2022-12-15 00:00:00+05:30,103.16,103.91,99.97,100.77,125788,0.0,0.0
TI,2022-12-16 00:00:00+05:30,99.97,102.26,98.27,99.02,137130,0.0,0.0
TI,2022-12-19 00:00:00+05:30,102.11,103.01,99.72,100.87,156605,0.0,0.0
TI,2022-12-20 00:00:00+05:30,98.77,104.7,98.52,101.86,262906,0.0,0.0
TI,2022-12-21 00:00:00+05:30,103.06,103.56,96.78,96.88,366582,0.0,0.0
TI,2022-12-22 00:00:00+05:30,97.28,99.37,92.34,95.93,366259,0.0,0.0
TI,2022-12-23 00:00:00+05:30,93.74,96.73,93.04,95.58,571347,0.0,0.0
TI,2022-12-26 00:00:00+05:30,97.57,100.32,96.68,99.57,313989,0.0,0.0
TI,2022-12-27 00:00:00+05:30,100.52,101.16,98.67,100.57,125875,0.0,0.0
TI,2022-12-28 00:00:00+05:30,103.71,104.31,100.57,103.31,190969,0.0,0.0
TI,2022-12-29 00:00:00+05:30,102.71,108.04,101.61,105.45,220230,0.0,0.0
TI,2022-12-30 00:00:00+05:30,104.8,110.69,104.8,109.99,600458,0.0,0.0
TI,2023-01-02 00:00:00+05:30,110.74,115.47,110.74,115.12,513615,0.0,0.0
TI,2023-01-03 00:00:00+05:30,119.46,120.86,114.93,115.92,942647,0.0,0.0
TI,2023-01-04 00:00:00+05:30,116.82,119.06,112.63,117.72,439996,0.0,0.0
